store_id,orders,quantity_sold,revenue,discount,active_days,avg_order_value,avg_daily_revenue,revenue_share_pct
101,197,246,1299.24,8.92,97,6.595126903553299,13.394226804123711,11.175383260321128
102,193,253,1294.55,8.69,99,6.707512953367876,13.076262626262626,11.135042332170126
401,175,231,1232.24,11.79,88,7.041371428571429,14.002727272727272,10.599084286735405
201,174,219,1194.04,12.54,95,6.862298850574712,12.568842105263158,10.270507857019364
501,170,220,1183.59,11.1,93,6.962294117647058,12.726774193548389,10.180622420094426
301,186,240,1181.03,18.38,94,6.3496236559139785,12.564148936170213,10.158602638417122
403,172,217,1177.71,12.7,94,6.847151162790698,12.528829787234043,10.130045734054368
103,168,211,1073.03,9.06,81,6.387083333333333,13.247283950617284,9.229643098905806
402,152,184,1006.58,7.88,88,6.622236842105264,11.438409090909092,8.658074937789817
202,156,193,983.9,11.91,86,6.307051282051282,11.440697674418605,8.46299343449244
